CD_SETOR,CD_MUN,NM_MUN,AREA_KM2,count_total,count_tag_pois,count_name_pois,count_drone_named,sample_poi_names
420060605000020,4200606,Águas Mornas,0.653178116810025,0,0,0,0,
420060605000021,4200606,Águas Mornas,3.036774606317787,0,0,0,0,
420060605000022,4200606,Águas Mornas,0.052704755399002,0,0,0,0,
420060605000023,4200606,Águas Mornas,1.621194534191741,1,1,0,0,Águas Mornas Palace Hotel
420060605000024,4200606,Águas Mornas,0.551993296951155,0,0,0,0,
420060605000025,4200606,Águas Mornas,1.40493173526498,0,0,0,0,
420060605000026,4200606,Águas Mornas,0.541583215043054,0,0,0,0,
420060605000027,4200606,Águas Mornas,9.151245879952734,0,0,0,0,
420060605000028,4200606,Águas Mornas,0.544934382952057,0,0,0,0,
420070505000002,4200705,Alfredo Wagner,0.708162369958062,0,0,0,0,
420070505000005,4200705,Alfredo Wagner,87.16560800581837,0,0,0,0,
420070505000007,4200705,Alfredo Wagner,42.30589998309236,0,0,0,0,
420070505000008,4200705,Alfredo Wagner,28.47696925116399,0,0,0,0,
420070505000010,4200705,Alfredo Wagner,12.489006415750096,0,0,0,0,
420070505000011,4200705,Alfredo Wagner,35.75740519014153,0,0,0,0,
420070505000012,4200705,Alfredo Wagner,18.048553918103156,0,0,0,0,
420070505000014,4200705,Alfredo Wagner,1.152669673589249,0,0,0,0,
420070505000015,4200705,Alfredo Wagner,33.600045787095574,0,0,0,0,
420070505000016,4200705,Alfredo Wagner,0.307410269054631,0,0,0,0,
420070505000017,4200705,Alfredo Wagner,0.480931357764293,2,2,0,0,Park Potel;Hotel & Churrascaria Kretzer
420070505000018,4200705,Alfredo Wagner,0.663152633425156,0,0,0,0,
420070505000019,4200705,Alfredo Wagner,0.09565440927397,0,0,0,0,
420070505000020,4200705,Alfredo Wagner,17.99951023382648,0,0,0,0,
420070505000021,4200705,Alfredo Wagner,0.635474844900148,0,0,0,0,
420070505000022,4200705,Alfredo Wagner,59.048384910652,0,0,0,0,
420070505000023,4200705,Alfredo Wagner,0.149962957835269,0,0,0,0,
420070510000001,4200705,Alfredo Wagner,0.945625850387965,0,0,0,0,
420070510000002,4200705,Alfredo Wagner,16.576684054405835,0,0,0,0,
420070510000003,4200705,Alfredo Wagner,27.2177239014223,0,0,0,0,
420070510000004,4200705,Alfredo Wagner,18.141330953177924,0,0,0,0,
420070510000005,4200705,Alfredo Wagner,29.141731098277496,0,0,0,0,
420070510000006,4200705,Alfredo Wagner,21.89865349657763,0,0,0,0,
420070510000007,4200705,Alfredo Wagner,50.846744313328585,0,0,0,0,
420070510000008,4200705,Alfredo Wagner,28.611718615404875,0,0,0,0,
420070515000001,4200705,Alfredo Wagner,0.281230370101131,0,0,0,0,
420070515000003,4200705,Alfredo Wagner,13.904761470071469,0,0,0,0,
420070515000007,4200705,Alfredo Wagner,35.64688263770705,0,0,0,0,
420070515000008,4200705,Alfredo Wagner,23.337121738247543,0,0,0,0,
420070520000001,4200705,Alfredo Wagner,0.253064971624055,0,0,0,0,
420070520000003,4200705,Alfredo Wagner,29.322203172696195,1,1,0,0,Paradouro Batistella
420070520000004,4200705,Alfredo Wagner,59.684381589774226,0,0,0,0,
420070520000006,4200705,Alfredo Wagner,38.59393080565903,0,0,0,0,
420075405000002,4200754,Alto Bela Vista,22.341315845818375,0,0,0,0,
420075405000003,4200754,Alto Bela Vista,17.747064452336264,0,0,0,0,
420075405000004,4200754,Alto Bela Vista,31.614657465629023,0,0,0,0,
420075405000005,4200754,Alto Bela Vista,16.42461404592655,0,0,0,0,
420075405000006,4200754,Alto Bela Vista,14.494834678562405,0,0,0,0,
420075405000011,4200754,Alto Bela Vista,0.810588341371215,0,0,0,0,
420080405000001,4200804,Anchieta,0.194803827916486,0,0,0,0,
420080405000002,4200804,Anchieta,0.209787604698297,0,0,0,0,
420080405000003,4200804,Anchieta,0.219002334879957,0,0,0,0,
420080405000004,4200804,Anchieta,26.28160413190545,0,0,0,0,
420080405000008,4200804,Anchieta,22.098849120089202,0,0,0,0,
420080405000009,4200804,Anchieta,27.46441609936347,0,0,0,0,
420080405000010,4200804,Anchieta,26.82691373605267,0,0,0,0,
420080405000012,4200804,Anchieta,21.66824499537908,0,0,0,0,
420080405000015,4200804,Anchieta,0.473832222198835,1,1,0,0,Belvedere Hotel Pousada
420080405000016,4200804,Anchieta,0.289892100949545,0,0,0,0,
420080405000017,4200804,Anchieta,0.277178119061204,0,0,0,0,
420080405000018,4200804,Anchieta,0.081020096849606,0,0,0,0,
420080405000019,4200804,Anchieta,22.340866241640843,0,0,0,0,
420080405000020,4200804,Anchieta,0.52162401201099,0,0,0,0,
420080405000021,4200804,Anchieta,27.077316497361764,0,0,0,0,
420080405000022,4200804,Anchieta,0.520220954016744,0,0,0,0,
420080405000023,4200804,Anchieta,24.139759843420176,0,0,0,0,
