"Tabela 5457 - Área plantada ou destinada à colheita, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias e permanentes"
"Variável - Área plantada ou destinada à colheita (Hectares)"
"Nível";"Cód.";"Brasil, Unidade da Federação e Município";"Ano x Produto das lavouras temporárias e permanentes"
"Nível";"Cód.";"Brasil, Unidade da Federação e Município";"2024"
"Nível";"Cód.";"Brasil, Unidade da Federação e Município";"Total";"Arroz (em casca)";"Maçã";"Milho (em grão)";"Soja (em grão)"
"MU";"3504206";"Auriflama (SP)";"9372";"-";"-";"200";"300"
"MU";"3504305";"Avaí (SP)";"6561";"-";"-";"10";"-"
"MU";"3504404";"Avanhandava (SP)";"20628";"-";"-";"220";"400"
"MU";"3504503";"Avaré (SP)";"54108";"-";"-";"7500";"13500"
"MU";"3504602";"Bady Bassitt (SP)";"4832";"-";"-";"600";"700"
"MU";"3504701";"Balbinos (SP)";"5647";"-";"-";"50";"-"
"MU";"3504800";"Bálsamo (SP)";"9379";"-";"-";"80";"300"
"MU";"3504909";"Bananal (SP)";"369";"-";"-";"265";"-"
"MU";"3505005";"Barão de Antonina (SP)";"2812";"-";"-";"900";"1400"
"MU";"3505104";"Barbosa (SP)";"9564";"-";"-";"120";"100"
"MU";"3505203";"Bariri (SP)";"27288";"-";"-";"108";"1450"
"MU";"3505302";"Barra Bonita (SP)";"7870";"-";"-";"20";"-"
"MU";"3505351";"Barra do Chapéu (SP)";"850";"-";"-";"200";"200"
"MU";"3505401";"Barra do Turvo (SP)";"333";"25";"-";"115";"-"
"MU";"3505500";"Barretos (SP)";"105306";"-";"-";"5140";"6031"
"MU";"3505609";"Barrinha (SP)";"8833";"-";"-";"50";"83"
"MU";"3505708";"Barueri (SP)";"...";"...";"...";"...";"..."
"MU";"3505807";"Bastos (SP)";"1475";"-";"-";"100";"-"
"MU";"3505906";"Batatais (SP)";"54105";"15";"-";"2000";"3800"
"MU";"3506003";"Bauru (SP)";"4749";"-";"-";"333";"300"
"MU";"3506102";"Bebedouro (SP)";"48979";"-";"-";"100";"2500"
"MU";"3506201";"Bento de Abreu (SP)";"16073";"-";"-";"50";"500"
"MU";"3506300";"Bernardino de Campos (SP)";"15102";"-";"-";"4100";"5000"
"MU";"3506359";"Bertioga (SP)";"...";"...";"...";"...";"..."
"MU";"3506409";"Bilac (SP)";"7929";"-";"-";"-";"1013"
"MU";"3506508";"Birigui (SP)";"34381";"-";"-";"205";"12000"
"MU";"3506607";"Biritiba Mirim (SP)";"80";"-";"-";"-";"-"
"MU";"3506706";"Boa Esperança do Sul (SP)";"47348";"-";"-";"150";"4000"
"MU";"3506805";"Bocaina (SP)";"16121";"-";"-";"30";"254"
"MU";"3506904";"Bofete (SP)";"2169";"-";"-";"380";"155"
"MU";"3507001";"Boituva (SP)";"7179";"-";"-";"520";"875"
"MU";"3507100";"Bom Jesus dos Perdões (SP)";"64";"-";"-";"40";"-"
"MU";"3507159";"Bom Sucesso de Itararé (SP)";"227";"-";"-";"150";"-"
"MU";"3507209";"Borá (SP)";"5803";"-";"-";"-";"-"
"MU";"3507308";"Boracéia (SP)";"7527";"-";"-";"157";"921"
"MU";"3507407";"Borborema (SP)";"34929";"-";"-";"-";"1075"
"MU";"3507456";"Borebi (SP)";"6009";"-";"-";"11";"400"
"MU";"3507506";"Botucatu (SP)";"42976";"38";"-";"7372";"2405"
"MU";"3507605";"Bragança Paulista (SP)";"9732";"-";"-";"1200";"2800"
"MU";"3507704";"Braúna (SP)";"10240";"-";"-";"30";"400"
"MU";"3507753";"Brejo Alegre (SP)";"9190";"-";"-";"70";"2800"
"MU";"3507803";"Brodowski (SP)";"16448";"-";"-";"400";"350"
"MU";"3507902";"Brotas (SP)";"38476";"-";"-";"500";"2330"
"MU";"3508009";"Buri (SP)";"76152";"-";"-";"16250";"42997"
"MU";"3508108";"Buritama (SP)";"11842";"-";"-";"170";"530"
"MU";"3508207";"Buritizal (SP)";"13424";"-";"-";"301";"2108"
"MU";"3508306";"Cabrália Paulista (SP)";"2651";"-";"-";"-";"540"
"MU";"3508405";"Cabreúva (SP)";"497";"-";"-";"150";"-"
"MU";"3508504";"Caçapava (SP)";"2000";"-";"-";"-";"80"
"MU";"3508603";"Cachoeira Paulista (SP)";"324";"130";"-";"55";"-"
"MU";"3508702";"Caconde (SP)";"9624";"-";"-";"300";"800"
"MU";"3508801";"Cafelândia (SP)";"41214";"-";"-";"242";"2100"
"MU";"3508900";"Caiabu (SP)";"6692";"-";"-";"600";"-"
"MU";"3509007";"Caieiras (SP)";"3";"-";"-";"-";"-"
"MU";"3509106";"Caiuá (SP)";"2245";"-";"-";"150";"-"
"MU";"3509205";"Cajamar (SP)";"...";"...";"...";"...";"..."
"MU";"3509254";"Cajati (SP)";"5843";"-";"-";"120";"120"
"MU";"3509304";"Cajobi (SP)";"11533";"-";"-";"69";"154"
"MU";"3509403";"Cajuru (SP)";"28977";"-";"-";"100";"3500"
"MU";"3509452";"Campina do Monte Alegre (SP)";"15339";"-";"-";"6500";"4500"
"MU";"3509502";"Campinas (SP)";"3954";"-";"-";"450";"800"
"MU";"3509601";"Campo Limpo Paulista (SP)";"...";"...";"...";"...";"..."
"MU";"3509700";"Campos do Jordão (SP)";"...";"...";"...";"...";"..."
"MU";"3509809";"Campos Novos Paulista (SP)";"44230";"-";"-";"8000";"15000"
"MU";"3509908";"Cananéia (SP)";"608";"6";"-";"5";"-"
"MU";"3509957";"Canas (SP)";"400";"400";"-";"-";"-"
"MU";"3510005";"Cândido Mota (SP)";"69695";"-";"-";"23285";"24500"
"MU";"3510104";"Cândido Rodrigues (SP)";"4700";"-";"-";"120";"140"
"MU";"3510153";"Canitar (SP)";"4950";"-";"-";"850";"1500"
"MU";"3510203";"Capão Bonito (SP)";"57620";"-";"50";"13500";"29000"
"MU";"3510302";"Capela do Alto (SP)";"3186";"-";"-";"950";"800"
"MU";"3510401";"Capivari (SP)";"18910";"-";"-";"150";"260"
"MU";"3510500";"Caraguatatuba (SP)";"76";"-";"-";"-";"-"
"MU";"3510609";"Carapicuíba (SP)";"...";"...";"...";"...";"..."
"MU";"3510708";"Cardoso (SP)";"24788";"-";"-";"913";"3900"
"MU";"3510807";"Casa Branca (SP)";"64395";"-";"-";"8950";"14800"
"MU";"3510906";"Cássia dos Coqueiros (SP)";"7561";"1";"-";"150";"400"
"MU";"3511003";"Castilho (SP)";"32400";"-";"-";"400";"800"
"MU";"3511102";"Catanduva (SP)";"17340";"-";"-";"10";"650"
"MU";"3511201";"Catiguá (SP)";"9182";"-";"-";"200";"300"
"MU";"3511300";"Cedral (SP)";"9772";"-";"-";"80";"1307"
"MU";"3511409";"Cerqueira César (SP)";"32400";"-";"-";"6430";"12000"
"MU";"3511508";"Cerquilho (SP)";"6100";"-";"-";"300";"600"
"MU";"3511607";"Cesário Lange (SP)";"17150";"-";"-";"1200";"2160"
"MU";"3511706";"Charqueada (SP)";"8673";"-";"-";"160";"-"
"MU";"3511904";"Clementina (SP)";"7891";"-";"-";"5";"290"
"MU";"3512001";"Colina (SP)";"30646";"-";"-";"900";"1310"
"MU";"3512100";"Colômbia (SP)";"55728";"-";"-";"1505";"1838"
"MU";"3512209";"Conchal (SP)";"14605";"-";"-";"1050";"4000"
"MU";"3512308";"Conchas (SP)";"4376";"-";"-";"297";"280"
"MU";"3512407";"Cordeirópolis (SP)";"7216";"-";"-";"80";"850"
"MU";"3512506";"Coroados (SP)";"15760";"-";"-";"295";"3900"
"MU";"3512605";"Coronel Macedo (SP)";"25826";"-";"-";"4500";"11000"
"MU";"3512704";"Corumbataí (SP)";"5168";"40";"-";"30";"350"
"MU";"3512803";"Cosmópolis (SP)";"5331";"-";"-";"500";"210"
"MU";"3512902";"Cosmorama (SP)";"22561";"-";"-";"150";"300"
"MU";"3513009";"Cotia (SP)";"...";"...";"...";"...";"..."
"MU";"3513108";"Cravinhos (SP)";"23760";"-";"-";"250";"1000"
"MU";"3513207";"Cristais Paulista (SP)";"14950";"-";"-";"1000";"700"
"MU";"3513306";"Cruzália (SP)";"18689";"80";"-";"7750";"7600"
"MU";"3513405";"Cruzeiro (SP)";"284";"59";"-";"61";"-"
"MU";"3513504";"Cubatão (SP)";"...";"...";"...";"...";"..."
"MU";"3513603";"Cunha (SP)";"467";"-";"-";"300";"-"
"MU";"3513702";"Descalvado (SP)";"33545";"-";"-";"1200";"1100"
"MU";"3513850";"Dirce Reis (SP)";"2016";"-";"-";"30";"-"
"MU";"3513900";"Divinolândia (SP)";"5455";"-";"-";"100";"20"
"MU";"3514007";"Dobrada (SP)";"10307";"-";"-";"40";"210"
"MU";"3514106";"Dois Córregos (SP)";"29955";"-";"-";"70";"1020"
"MU";"3514205";"Dolcinópolis (SP)";"3325";"-";"-";"5";"-"
"MU";"3514304";"Dourado (SP)";"6102";"-";"-";"600";"350"
"MU";"3514403";"Dracena (SP)";"16520";"-";"-";"10";"70"
"MU";"3514502";"Duartina (SP)";"1807";"-";"-";"25";"30"
"MU";"3514601";"Dumont (SP)";"10144";"-";"-";"100";"300"
"MU";"3514700";"Echaporã (SP)";"14314";"-";"-";"1150";"3500"
"MU";"3514809";"Eldorado (SP)";"6447";"20";"-";"75";"1"
"MU";"3514908";"Elias Fausto (SP)";"8638";"-";"-";"680";"550"
"MU";"3514924";"Elisiário (SP)";"6273";"-";"-";"-";"50"
"MU";"3514957";"Embaúba (SP)";"6439";"-";"-";"4";"92"
"MU";"3515004";"Embu das Artes (SP)";"...";"...";"...";"...";"..."
"MU";"3515103";"Embu-Guaçu (SP)";"...";"...";"...";"...";"..."
"MU";"3515129";"Emilianópolis (SP)";"6591";"-";"-";"200";"1050"
"MU";"3515152";"Engenheiro Coelho (SP)";"5299";"-";"-";"1180";"620"
"MU";"3515186";"Espírito Santo do Pinhal (SP)";"10745";"-";"-";"600";"500"
"MU";"3515194";"Espírito Santo do Turvo (SP)";"8896";"-";"-";"350";"2500"
"MU";"3515202";"Estrela d'Oeste (SP)";"11669";"-";"-";"320";"120"
"MU";"3515301";"Estrela do Norte (SP)";"6240";"-";"-";"400";"700"
"MU";"3515350";"Euclides da Cunha Paulista (SP)";"8312";"-";"-";"1200";"600"
"MU";"3515400";"Fartura (SP)";"11628";"-";"-";"1994";"5176"
"MU";"3515509";"Fernandópolis (SP)";"19906";"-";"-";"500";"120"
"MU";"3515608";"Fernando Prestes (SP)";"12194";"-";"-";"50";"100"
"MU";"3515657";"Fernão (SP)";"1882";"-";"-";"300";"800"
"MU";"3515707";"Ferraz de Vasconcelos (SP)";"...";"...";"...";"...";"..."
"MU";"3515806";"Flora Rica (SP)";"5962";"-";"-";"500";"600"
"MU";"3515905";"Floreal (SP)";"9306";"-";"-";"200";"250"
"MU";"3516002";"Flórida Paulista (SP)";"19800";"-";"-";"500";"300"
"MU";"3516101";"Florínea (SP)";"22231";"-";"-";"6600";"6400"
"MU";"3516200";"Franca (SP)";"17959";"-";"-";"450";"1000"
"MU";"3516309";"Francisco Morato (SP)";"19";"-";"-";"-";"-"
"MU";"3516408";"Franco da Rocha (SP)";"...";"...";"...";"...";"..."
"MU";"3516507";"Gabriel Monteiro (SP)";"4955";"-";"-";"120";"110"
"MU";"3516606";"Gália (SP)";"5603";"-";"-";"650";"650"
"MU";"3516705";"Garça (SP)";"12427";"-";"-";"500";"900"
"MU";"3516804";"Gastão Vidigal (SP)";"6402";"-";"-";"200";"245"
"MU";"3516853";"Gavião Peixoto (SP)";"11961";"-";"-";"500";"1400"
"MU";"3516903";"General Salgado (SP)";"16427";"-";"-";"500";"933"
"MU";"3517000";"Getulina (SP)";"19800";"-";"-";"120";"300"
"MU";"3517109";"Glicério (SP)";"20579";"-";"-";"1090";"3000"
"MU";"3517208";"Guaiçara (SP)";"8645";"-";"-";"150";"400"
"MU";"3517307";"Guaimbê (SP)";"5145";"-";"-";"70";"212"
"MU";"3517406";"Guaíra (SP)";"109301";"-";"-";"13100";"27000"
"MU";"3517505";"Guapiaçu (SP)";"19688";"-";"-";"350";"1650"
"MU";"3517604";"Guapiara (SP)";"9446";"-";"1";"2500";"4500"
"MU";"3517703";"Guará (SP)";"27610";"-";"-";"547";"4409"
"MU";"3517802";"Guaraçaí (SP)";"30728";"-";"-";"300";"106"
"MU";"3517901";"Guaraci (SP)";"43547";"-";"-";"1457";"1500"
"MU";"3518008";"Guarani d'Oeste (SP)";"2067";"-";"-";"300";"30"
"MU";"3518107";"Guarantã (SP)";"17812";"-";"-";"500";"300"
"MU";"3518206";"Guararapes (SP)";"48117";"-";"-";"-";"6000"
"MU";"3518305";"Guararema (SP)";"401";"-";"-";"-";"-"
"MU";"3518404";"Guaratinguetá (SP)";"5105";"2100";"-";"230";"2600"
"MU";"3518503";"Guareí (SP)";"6711";"6";"-";"2800";"2400"
"MU";"3518602";"Guariba (SP)";"21771";"-";"-";"190";"1600"
"MU";"3518701";"Guarujá (SP)";"...";"...";"...";"...";"..."
"MU";"3518800";"Guarulhos (SP)";"...";"...";"...";"...";"..."
"MU";"3518859";"Guatapará (SP)";"26434";"3";"-";"372";"460"
"MU";"3518909";"Guzolândia (SP)";"5487";"-";"-";"280";"950"
"MU";"3519006";"Herculândia (SP)";"17390";"-";"-";"250";"600"
"MU";"3519055";"Holambra (SP)";"1787";"-";"-";"200";"730"
"MU";"3519071";"Hortolândia (SP)";"...";"...";"...";"...";"..."
"MU";"3519105";"Iacanga (SP)";"26403";"-";"-";"100";"400"
"MU";"3519204";"Iacri (SP)";"12815";"-";"-";"1000";"-"
"MU";"3519253";"Iaras (SP)";"18060";"-";"-";"3350";"2100"
"MU";"3519303";"Ibaté (SP)";"15524";"-";"-";"150";"250"
"MU";"3519402";"Ibirá (SP)";"15131";"-";"-";"600";"300"
"MU";"3519501";"Ibirarema (SP)";"34303";"-";"-";"8500";"15000"
"MU";"3519600";"Ibitinga (SP)";"43219";"-";"-";"800";"2500"
"MU";"3519709";"Ibiúna (SP)";"3023";"-";"-";"1200";"290"
"MU";"3519808";"Icém (SP)";"12262";"-";"-";"300";"160"
"MU";"3519907";"Iepê (SP)";"53083";"-";"-";"12040";"21000"
"MU";"3520004";"Igaraçu do Tietê (SP)";"6666";"-";"-";"10";"255"
"MU";"3520103";"Igarapava (SP)";"23418";"-";"-";"40";"4303"
"MU";"3520202";"Igaratá (SP)";"1";"-";"-";"-";"-"
"MU";"3520301";"Iguape (SP)";"3708";"1900";"-";"10";"-"
"MU";"3520400";"Ilhabela (SP)";"3";"-";"-";"-";"-"
"MU";"3520442";"Ilha Solteira (SP)";"21736";"-";"-";"60";"320"
"MU";"3520509";"Indaiatuba (SP)";"4109";"-";"-";"750";"850"
"MU";"3520608";"Indiana (SP)";"1954";"-";"-";"120";"120"
"MU";"3520707";"Indiaporã (SP)";"8460";"-";"-";"300";"800"
"MU";"3520806";"Inúbia Paulista (SP)";"2737";"-";"-";"30";"200"
"MU";"3520905";"Ipaussu (SP)";"18986";"-";"-";"800";"1300"
"MU";"3521002";"Iperó (SP)";"2060";"-";"-";"689";"115"
"MU";"3521101";"Ipeúna (SP)";"5442";"-";"-";"200";"7"
"MU";"3521150";"Ipiguá (SP)";"6220";"-";"-";"200";"180"
"MU";"3521200";"Iporanga (SP)";"857";"50";"-";"120";"-"
"MU";"3521309";"Ipuã (SP)";"37796";"-";"-";"1135";"6537"
"MU";"3521408";"Iracemápolis (SP)";"6677";"-";"-";"16";"400"
"MU";"3521507";"Irapuã (SP)";"15973";"-";"-";"170";"300"
"MU";"3521606";"Irapuru (SP)";"5308";"-";"-";"130";"-"
"MU";"3521705";"Itaberá (SP)";"89486";"10";"-";"15000";"41000"
"MU";"3521804";"Itaí (SP)";"71665";"-";"-";"10300";"19600"
"MU";"3521903";"Itajobi (SP)";"33775";"-";"-";"100";"50"
"MU";"3522000";"Itaju (SP)";"9683";"-";"-";"30";"1200"
"MU";"3522109";"Itanhaém (SP)";"2871";"-";"-";"-";"-"
"MU";"3522158";"Itaoca (SP)";"191";"-";"-";"35";"-"
"MU";"3522208";"Itapecerica da Serra (SP)";"...";"...";"...";"...";"..."
"MU";"3522307";"Itapetininga (SP)";"63213";"-";"-";"10100";"27500"
"MU";"3522406";"Itapeva (SP)";"164177";"200";"-";"29500";"82000"
"MU";"3522505";"Itapevi (SP)";"...";"...";"...";"...";"..."
"MU";"3522604";"Itapira (SP)";"7306";"3";"-";"1550";"3000"
"MU";"3522653";"Itapirapuã Paulista (SP)";"228";"-";"-";"110";"-"
"MU";"3522703";"Itápolis (SP)";"69781";"-";"-";"2500";"5000"
"MU";"3522802";"Itaporanga (SP)";"22247";"-";"-";"1300";"15200"
"MU";"3522901";"Itapuí (SP)";"8424";"-";"-";"20";"97"
"MU";"3523008";"Itapura (SP)";"13951";"-";"-";"903";"1520"
"MU";"3523107";"Itaquaquecetuba (SP)";"...";"...";"...";"...";"..."
"MU";"3523206";"Itararé (SP)";"42969";"-";"-";"7000";"22000"
"MU";"3523305";"Itariri (SP)";"2895";"-";"-";"-";"-"
"MU";"3523404";"Itatiba (SP)";"2878";"-";"-";"1877";"215"
"MU";"3523503";"Itatinga (SP)";"14243";"-";"-";"1920";"1350"
"MU";"3523602";"Itirapina (SP)";"7660";"-";"-";"380";"300"
"MU";"3523701";"Itirapuã (SP)";"5256";"-";"-";"200";"150"
"MU";"3523800";"Itobi (SP)";"4958";"-";"-";"1745";"1200"
"MU";"3523909";"Itu (SP)";"2118";"-";"-";"400";"400"
"MU";"3524006";"Itupeva (SP)";"2193";"-";"-";"1404";"50"
"MU";"3524105";"Ituverava (SP)";"51984";"-";"-";"1455";"8617"
"MU";"3524204";"Jaborandi (SP)";"22905";"-";"-";"660";"1395"
"MU";"3524303";"Jaboticabal (SP)";"66138";"-";"-";"300";"3500"
"MU";"3524402";"Jacareí (SP)";"38";"-";"-";"2";"-"
"MU";"3524501";"Jaci (SP)";"8983";"-";"-";"100";"1300"
"MU";"3524600";"Jacupiranga (SP)";"3362";"20";"-";"40";"-"
"MU";"3524709";"Jaguariúna (SP)";"3475";"-";"-";"200";"510"
"MU";"3524808";"Jales (SP)";"7699";"-";"-";"120";"100"
"MU";"3524907";"Jambeiro (SP)";"5";"-";"-";"-";"-"
"MU";"3525003";"Jandira (SP)";"...";"...";"...";"...";"..."
"MU";"3525102";"Jardinópolis (SP)";"41069";"-";"-";"650";"2000"
"MU";"3525201";"Jarinu (SP)";"689";"-";"-";"400";"-"
"MU";"3525300";"Jaú (SP)";"45206";"10";"-";"240";"4200"
"MU";"3525409";"Jeriquara (SP)";"11016";"-";"-";"150";"600"
"MU";"3525508";"Joanópolis (SP)";"370";"-";"-";"150";"-"
"MU";"3525607";"João Ramalho (SP)";"22192";"-";"-";"120";"2000"
"MU";"3525706";"José Bonifácio (SP)";"49462";"-";"-";"900";"5000"
"MU";"3525805";"Júlio Mesquita (SP)";"1958";"-";"-";"120";"-"
"MU";"3525854";"Jumirim (SP)";"650";"-";"-";"41";"144"
"MU";"3525904";"Jundiaí (SP)";"4951";"-";"-";"400";"-"
"MU";"3526001";"Junqueirópolis (SP)";"30525";"-";"-";"100";"530"
"MU";"3526100";"Juquiá (SP)";"3585";"-";"-";"10";"-"
"MU";"3526209";"Juquitiba (SP)";"...";"...";"...";"...";"..."
"MU";"3526308";"Lagoinha (SP)";"203";"-";"-";"192";"-"
"MU";"3526407";"Laranjal Paulista (SP)";"11786";"-";"-";"4100";"150"
"MU";"3526506";"Lavínia (SP)";"25127";"-";"-";"100";"256"
"MU";"3526605";"Lavrinhas (SP)";"59";"2";"-";"22";"-"
"MU";"3526704";"Leme (SP)";"29548";"-";"-";"2200";"6000"
"MU";"3526803";"Lençóis Paulista (SP)";"38708";"-";"-";"100";"3500"
"MU";"3526902";"Limeira (SP)";"21871";"-";"-";"1300";"4000"
"MU";"3527009";"Lindóia (SP)";"209";"-";"-";"30";"-"
"MU";"3527108";"Lins (SP)";"25838";"-";"-";"250";"726"
"MU";"3527207";"Lorena (SP)";"435";"200";"-";"180";"40"
"MU";"3527256";"Lourdes (SP)";"5245";"-";"-";"121";"1050"
"MU";"3527306";"Louveira (SP)";"350";"-";"-";"30";"-"
"MU";"3527405";"Lucélia (SP)";"8631";"-";"-";"80";"300"
"MU";"3527504";"Lucianópolis (SP)";"6161";"-";"-";"116";"1250"
"MU";"3527603";"Luís Antônio (SP)";"39962";"-";"-";"600";"1500"
"MU";"3527702";"Luiziânia (SP)";"9988";"-";"-";"50";"180"
"MU";"3527801";"Lupércio (SP)";"3433";"-";"-";"150";"1200"
"MU";"3527900";"Lutécia (SP)";"18470";"-";"-";"3400";"3500"
"MU";"3528007";"Macatuba (SP)";"15800";"-";"-";"60";"1400"
"MU";"3528106";"Macaubal (SP)";"9549";"-";"-";"230";"300"
"MU";"3528205";"Macedônia (SP)";"8135";"-";"-";"150";"350"
"MU";"3528304";"Magda (SP)";"15386";"-";"-";"270";"2000"
"MU";"3528403";"Mairinque (SP)";"732";"-";"-";"540";"90"
"MU";"3528502";"Mairiporã (SP)";"...";"...";"...";"...";"..."
"MU";"3528601";"Manduri (SP)";"12364";"-";"-";"2800";"2210"
"MU";"3528700";"Marabá Paulista (SP)";"18290";"-";"-";"500";"1200"
"MU";"3528809";"Maracaí (SP)";"69349";"20";"-";"26600";"26935"
"MU";"3528858";"Marapoama (SP)";"8154";"-";"-";"100";"200"
"MU";"3528908";"Mariápolis (SP)";"1758";"-";"-";"100";"50"
"MU";"3529005";"Marília (SP)";"13914";"-";"-";"3000";"1400"
"MU";"3529104";"Marinópolis (SP)";"1298";"-";"-";"210";"180"
"MU";"3529203";"Martinópolis (SP)";"55296";"-";"-";"4800";"4300"
"MU";"3529302";"Matão (SP)";"30220";"-";"-";"450";"3300"
"MU";"3529401";"Mauá (SP)";"...";"...";"...";"...";"..."
"MU";"3529500";"Mendonça (SP)";"9627";"-";"-";"300";"150"
"MU";"3529609";"Meridiano (SP)";"10106";"-";"-";"1000";"500"
"MU";"3529658";"Mesópolis (SP)";"6868";"-";"-";"30";"130"
"MU";"3529708";"Miguelópolis (SP)";"67831";"-";"-";"5080";"16694"
"MU";"3529807";"Mineiros do Tietê (SP)";"9820";"-";"-";"10";"1050"
"MU";"3529906";"Miracatu (SP)";"2608";"-";"-";"-";"-"
"MU";"3530003";"Mira Estrela (SP)";"1829";"-";"-";"150";"350"
"MU";"3530102";"Mirandópolis (SP)";"34001";"-";"-";"550";"1100"
"MU";"3530201";"Mirante do Paranapanema (SP)";"24965";"-";"-";"1750";"2000"
"MU";"3530300";"Mirassol (SP)";"12715";"-";"-";"550";"938"
"MU";"3530409";"Mirassolândia (SP)";"6380";"-";"-";"100";"500"
"MU";"3530508";"Mococa (SP)";"39440";"55";"-";"3000";"6000"
"MU";"3530607";"Mogi das Cruzes (SP)";"801";"-";"-";"-";"30"
"MU";"3530706";"Mogi Guaçu (SP)";"31579";"-";"-";"2900";"3800"
"MU";"3530805";"Mogi Mirim (SP)";"22413";"-";"-";"1700";"3800"
"MU";"3530904";"Mombuca (SP)";"7180";"-";"-";"45";"120"
"MU";"3531001";"Monções (SP)";"4328";"-";"-";"-";"680"
"MU";"3531100";"Mongaguá (SP)";"11";"-";"-";"-";"-"
"MU";"3531209";"Monte Alegre do Sul (SP)";"662";"-";"-";"140";"-"
"MU";"3531308";"Monte Alto (SP)";"15778";"-";"-";"400";"600"
"MU";"3531407";"Monte Aprazível (SP)";"21367";"-";"-";"175";"1050"
"MU";"3531506";"Monte Azul Paulista (SP)";"18753";"-";"-";"50";"1000"
"MU";"3531605";"Monte Castelo (SP)";"9412";"-";"-";"-";"34"
"MU";"3531704";"Monteiro Lobato (SP)";"...";"...";"...";"...";"..."
"MU";"3531803";"Monte Mor (SP)";"7816";"-";"-";"200";"300"
"MU";"3531902";"Morro Agudo (SP)";"103970";"-";"-";"795";"14870"
"MU";"3532009";"Morungaba (SP)";"1367";"-";"-";"995";"150"
"MU";"3532058";"Motuca (SP)";"13535";"-";"-";"50";"720"
"MU";"3532108";"Murutinga do Sul (SP)";"4268";"-";"-";"100";"-"
"MU";"3532157";"Nantes (SP)";"28842";"-";"-";"7000";"15000"
"MU";"3532207";"Narandiba (SP)";"23033";"-";"-";"2808";"2558"
"MU";"3532306";"Natividade da Serra (SP)";"187";"-";"-";"30";"-"
"MU";"3532405";"Nazaré Paulista (SP)";"450";"5";"-";"350";"-"
"MU";"3532504";"Neves Paulista (SP)";"12292";"-";"-";"120";"1150"
"MU";"3532603";"Nhandeara (SP)";"17004";"-";"-";"400";"2000"
"MU";"3532702";"Nipoã (SP)";"6895";"-";"-";"150";"340"
"MU";"3532801";"Nova Aliança (SP)";"11538";"-";"-";"50";"420"
"MU";"3532827";"Nova Campina (SP)";"943";"-";"-";"280";"200"
"MU";"3532843";"Nova Canaã Paulista (SP)";"2105";"-";"-";"150";"-"
"MU";"3532868";"Nova Castilho (SP)";"8539";"-";"-";"150";"600"
"MU";"3532900";"Nova Europa (SP)";"10018";"-";"-";"300";"1000"
"MU";"3533007";"Nova Granada (SP)";"26408";"-";"-";"1200";"1500"
"MU";"3533106";"Nova Guataporanga (SP)";"1335";"-";"-";"53";"-"
"MU";"3533205";"Nova Independência (SP)";"11010";"-";"-";"30";"-"
"MU";"3533254";"Novais (SP)";"6339";"-";"-";"75";"1000"
"MU";"3533304";"Nova Luzitânia (SP)";"2455";"-";"-";"-";"225"
"MU";"3533403";"Nova Odessa (SP)";"663";"-";"-";"415";"186"
"MU";"3533502";"Novo Horizonte (SP)";"49109";"-";"-";"400";"800"
"MU";"3533601";"Nuporanga (SP)";"20425";"-";"-";"488";"3580"
"MU";"3533700";"Ocauçu (SP)";"5416";"-";"-";"20";"968"
"MU";"3533809";"Óleo (SP)";"11538";"-";"-";"970";"5143"
"MU";"3533908";"Olímpia (SP)";"49250";"-";"-";"300";"400"
"MU";"3534005";"Onda Verde (SP)";"14199";"-";"-";"600";"320"
"MU";"3534104";"Oriente (SP)";"2340";"-";"-";"180";"-"
"MU";"3534203";"Orindiúva (SP)";"16158";"-";"-";"50";"4504"
"MU";"3534302";"Orlândia (SP)";"20790";"-";"-";"113";"2958"
"MU";"3534401";"Osasco (SP)";"...";"...";"...";"...";"..."
"MU";"3534500";"Oscar Bressane (SP)";"4949";"-";"-";"280";"100"
"MU";"3534609";"Osvaldo Cruz (SP)";"5170";"-";"-";"350";"200"
"MU";"3534708";"Ourinhos (SP)";"23653";"-";"-";"3000";"4000"
"MU";"3534757";"Ouroeste (SP)";"13306";"-";"-";"350";"300"
"MU";"3534807";"Ouro Verde (SP)";"10209";"-";"-";"-";"-"
"MU";"3534906";"Pacaembu (SP)";"8841";"-";"-";"470";"280"
"MU";"3535002";"Palestina (SP)";"35824";"-";"-";"1100";"2741"
"MU";"3535101";"Palmares Paulista (SP)";"8845";"-";"-";"17";"1200"
"MU";"3535200";"Palmeira d'Oeste (SP)";"1978";"-";"-";"20";"192"
"MU";"3535309";"Palmital (SP)";"70685";"-";"-";"19783";"28278"
"MU";"3535408";"Panorama (SP)";"10888";"-";"-";"-";"-"
"MU";"3535507";"Paraguaçu Paulista (SP)";"53155";"-";"-";"1000";"4300"
"MU";"3535606";"Paraibuna (SP)";"105";"-";"-";"25";"-"
"MU";"3535705";"Paraíso (SP)";"10544";"-";"-";"150";"500"
"MU";"3535804";"Paranapanema (SP)";"51873";"-";"28";"7500";"18000"
"MU";"3535903";"Paranapuã (SP)";"5589";"-";"-";"60";"640"
"MU";"3536000";"Parapuã (SP)";"16970";"-";"-";"500";"2000"
"MU";"3536109";"Pardinho (SP)";"8051";"-";"-";"825";"2670"
"MU";"3536208";"Pariquera-Açu (SP)";"3273";"10";"-";"150";"20"
"MU";"3536257";"Parisi (SP)";"2476";"-";"-";"450";"170"
