"Tabela 5457 - Área plantada ou destinada à colheita, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias e permanentes"
"Variável - Área plantada ou destinada à colheita (Hectares)"
"Nível";"Cód.";"Brasil, Unidade da Federação e Município";"Ano x Produto das lavouras temporárias e permanentes"
"Nível";"Cód.";"Brasil, Unidade da Federação e Município";"2024"
"Nível";"Cód.";"Brasil, Unidade da Federação e Município";"Total";"Arroz (em casca)";"Maçã";"Milho (em grão)";"Soja (em grão)"
"MU";"1501105";"Bagre (PA)";"11825";"-";"-";"-";"-"
"MU";"1501204";"Baião (PA)";"25400";"150";"-";"800";"-"
"MU";"1501253";"Bannach (PA)";"2151";"-";"-";"-";"2097"
"MU";"1501303";"Barcarena (PA)";"14114";"12";"-";"300";"-"
"MU";"1501402";"Belém (PA)";"170";"-";"-";"-";"-"
"MU";"1501451";"Belterra (PA)";"47688";"189";"-";"15900";"30000"
"MU";"1501501";"Benevides (PA)";"793";"-";"-";"-";"-"
"MU";"1501576";"Bom Jesus do Tocantins (PA)";"609";"75";"-";"300";"-"
"MU";"1501600";"Bonito (PA)";"9740";"-";"-";"70";"-"
"MU";"1501709";"Bragança (PA)";"5539";"70";"-";"400";"-"
"MU";"1501725";"Brasil Novo (PA)";"11045";"3";"-";"1350";"-"
"MU";"1501758";"Brejo Grande do Araguaia (PA)";"1820";"-";"-";"900";"700"
"MU";"1501782";"Breu Branco (PA)";"6993";"-";"-";"1100";"5500"
"MU";"1501808";"Breves (PA)";"3386";"-";"-";"-";"-"
"MU";"1501907";"Bujaru (PA)";"8677";"30";"-";"120";"-"
"MU";"1501956";"Cachoeira do Piriá (PA)";"2151";"65";"-";"70";"-"
"MU";"1502004";"Cachoeira do Arari (PA)";"12750";"11800";"-";"-";"-"
"MU";"1502103";"Cametá (PA)";"44855";"250";"-";"264";"-"
"MU";"1502152";"Canaã dos Carajás (PA)";"4891";"-";"-";"4000";"-"
"MU";"1502202";"Capanema (PA)";"8311";"-";"-";"300";"-"
"MU";"1502301";"Capitão Poço (PA)";"19805";"50";"-";"1500";"-"
"MU";"1502400";"Castanhal (PA)";"12354";"-";"-";"400";"-"
"MU";"1502509";"Chaves (PA)";"70";"-";"-";"-";"-"
"MU";"1502608";"Colares (PA)";"415";"-";"-";"10";"-"
"MU";"1502707";"Conceição do Araguaia (PA)";"32117";"70";"-";"10000";"20910"
"MU";"1502756";"Concórdia do Pará (PA)";"28840";"30";"-";"100";"-"
"MU";"1502764";"Cumaru do Norte (PA)";"81800";"700";"-";"30500";"50000"
"MU";"1502772";"Curionópolis (PA)";"6031";"-";"-";"3000";"2200"
"MU";"1502806";"Curralinho (PA)";"3124";"-";"-";"-";"-"
"MU";"1502855";"Curuá (PA)";"677";"3";"-";"50";"-"
"MU";"1502905";"Curuçá (PA)";"1435";"-";"-";"20";"-"
"MU";"1502939";"Dom Eliseu (PA)";"201644";"1500";"-";"33000";"160000"
"MU";"1502954";"Eldorado do Carajás (PA)";"5802";"75";"-";"4400";"-"
"MU";"1503002";"Faro (PA)";"102";"-";"-";"2";"-"
"MU";"1503044";"Floresta do Araguaia (PA)";"17369";"40";"-";"-";"10000"
"MU";"1503077";"Garrafão do Norte (PA)";"8360";"12";"-";"800";"-"
"MU";"1503093";"Goianésia do Pará (PA)";"14310";"800";"-";"2000";"11260"
"MU";"1503101";"Gurupá (PA)";"1077";"118";"-";"30";"-"
"MU";"1503200";"Igarapé-Açu (PA)";"10540";"-";"-";"130";"-"
"MU";"1503309";"Igarapé-Miri (PA)";"54814";"14";"-";"40";"-"
"MU";"1503408";"Inhangapi (PA)";"5193";"5";"-";"10";"-"
"MU";"1503457";"Ipixuna do Pará (PA)";"15302";"200";"-";"4000";"8000"
"MU";"1503507";"Irituia (PA)";"4208";"50";"-";"500";"-"
"MU";"1503606";"Itaituba (PA)";"3014";"120";"-";"630";"-"
"MU";"1503705";"Itupiranga (PA)";"8360";"55";"-";"3620";"-"
